Compliance Name,Domain Name,Category,What It Is,Why It Is Important,Why It Is Needed,How It Should Work,Minimum Requirements for Compliance,Required Evidence,Audit / Pass Criteria,Non-Compliance Triggers,Typical Applicability / SBU,Indicative Process Owner
Endpoint Security,Cyber Security,"Technology, Data & Security","Endpoint Security is the operational controls that prevent, detect, contain, investigate and recover from cyber threats across endpoints, networks, cloud and applications. Within Cyber Security, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It reduces business interruption, data loss, extortion, fraud and safety impact from increasingly capable and persistent threats.","It is needed under cyber law, NIST CSF, CIS Controls, contracts, insurance conditions and accepted security practice. Primary catalogue basis: NIST CSF; CIS Controls; ISO/IEC 27001. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.",Identify assets and threats; protect through layered controls; continuously detect anomalies; respond using tested playbooks; recover from trusted backups; learn from incidents and threat intelligence. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.,Maintain inventory and criticality; secure identities/endpoints/networks/email/cloud; manage vulnerabilities and patches; monitor logs/alerts; test penetration and response; preserve forensic evidence; contain and notify incidents; recover and validate; track remediation. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Inventories, security architecture/configuration, EDR/SIEM reports, vulnerability and penetration tests, patch evidence, access/MFA reports, threat intelligence, incident/forensic records, recovery tests and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when critical assets are covered by preventive/detective controls, high-risk vulnerabilities are timely resolved, monitoring and response are effective and recovery is tested. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes uncontrolled critical vulnerability, disabled protection/logging, compromised credentials, missed incident, untested recovery, unsupported asset, evidence loss or overdue high-risk remediation.",All digital infrastructure and connected operations,CISO / SOC Lead
Network Security,Cyber Security,"Technology, Data & Security","Network Security is the operational controls that prevent, detect, contain, investigate and recover from cyber threats across endpoints, networks, cloud and applications. Within Cyber Security, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It reduces business interruption, data loss, extortion, fraud and safety impact from increasingly capable and persistent threats.","It is needed under cyber law, NIST CSF, CIS Controls, contracts, insurance conditions and accepted security practice. Primary catalogue basis: NIST CSF; CIS Controls; ISO/IEC 27001. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.",Identify assets and threats; protect through layered controls; continuously detect anomalies; respond using tested playbooks; recover from trusted backups; learn from incidents and threat intelligence. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.,Maintain inventory and criticality; secure identities/endpoints/networks/email/cloud; manage vulnerabilities and patches; monitor logs/alerts; test penetration and response; preserve forensic evidence; contain and notify incidents; recover and validate; track remediation. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Inventories, security architecture/configuration, EDR/SIEM reports, vulnerability and penetration tests, patch evidence, access/MFA reports, threat intelligence, incident/forensic records, recovery tests and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when critical assets are covered by preventive/detective controls, high-risk vulnerabilities are timely resolved, monitoring and response are effective and recovery is tested. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes uncontrolled critical vulnerability, disabled protection/logging, compromised credentials, missed incident, untested recovery, unsupported asset, evidence loss or overdue high-risk remediation.",All digital infrastructure and connected operations,CISO / SOC Lead
Cloud Security,Cyber Security,"Technology, Data & Security","Cloud Security is the governance and security of cloud services under the shared-responsibility model. Within Cyber Security, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects data and service availability and prevents misconfiguration, uncontrolled access, provider dependency and unclear incident or recovery accountability.","It is needed by ISO/IEC 27017/27018/27701, privacy/cyber obligations, customer contracts and the organization's cloud-risk appetite. Primary catalogue basis: NIST CSF; CIS Controls; ISO/IEC 27001. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.",Approve cloud architecture and provider; document responsibilities; configure identity/network/encryption/logging/backup securely; control data location and processors; monitor posture and service; test incidents/recovery; govern change and exit. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.,Classify workload/data; risk assess provider and region; contract security/privacy/SLA/audit/exit; map shared responsibilities; use approved landing zone; enforce MFA/least privilege; encrypt; log and monitor; scan configuration/vulnerability; back up and test; manage keys/secrets; respond to incidents; review access/posture; test exit. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Cloud inventory and architecture, risk/due diligence, contract/SLA/DPA, responsibility matrix, configuration baselines/posture reports, access reviews, encryption/key records, logs/alerts, backup/recovery tests, incidents and exit plan. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the service and region are approved, responsibilities and contract controls are clear, configuration/access/data protection operate, monitoring/recovery are tested and critical findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unapproved cloud/shadow SaaS, public exposure, excessive privilege, missing logs/backup/encryption, unassessed region/subprocessor, weak contract, critical misconfiguration or no exit capability.",All digital infrastructure and connected operations,CISO / SOC Lead
Email Security,Cyber Security,"Technology, Data & Security","Email Security is the operational controls that prevent, detect, contain, investigate and recover from cyber threats across endpoints, networks, cloud and applications. Within Cyber Security, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It reduces business interruption, data loss, extortion, fraud and safety impact from increasingly capable and persistent threats.","It is needed under cyber law, NIST CSF, CIS Controls, contracts, insurance conditions and accepted security practice. Primary catalogue basis: NIST CSF; CIS Controls; ISO/IEC 27001. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.",Identify assets and threats; protect through layered controls; continuously detect anomalies; respond using tested playbooks; recover from trusted backups; learn from incidents and threat intelligence. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.,Maintain inventory and criticality; secure identities/endpoints/networks/email/cloud; manage vulnerabilities and patches; monitor logs/alerts; test penetration and response; preserve forensic evidence; contain and notify incidents; recover and validate; track remediation. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Inventories, security architecture/configuration, EDR/SIEM reports, vulnerability and penetration tests, patch evidence, access/MFA reports, threat intelligence, incident/forensic records, recovery tests and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when critical assets are covered by preventive/detective controls, high-risk vulnerabilities are timely resolved, monitoring and response are effective and recovery is tested. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes uncontrolled critical vulnerability, disabled protection/logging, compromised credentials, missed incident, untested recovery, unsupported asset, evidence loss or overdue high-risk remediation.",All digital infrastructure and connected operations,CISO / SOC Lead
Threat Intelligence,Cyber Security,"Technology, Data & Security","Threat Intelligence is the operational controls that prevent, detect, contain, investigate and recover from cyber threats across endpoints, networks, cloud and applications. Within Cyber Security, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It reduces business interruption, data loss, extortion, fraud and safety impact from increasingly capable and persistent threats.","It is needed under cyber law, NIST CSF, CIS Controls, contracts, insurance conditions and accepted security practice. Primary catalogue basis: NIST CSF; CIS Controls; ISO/IEC 27001. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.",Identify assets and threats; protect through layered controls; continuously detect anomalies; respond using tested playbooks; recover from trusted backups; learn from incidents and threat intelligence. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.,Maintain inventory and criticality; secure identities/endpoints/networks/email/cloud; manage vulnerabilities and patches; monitor logs/alerts; test penetration and response; preserve forensic evidence; contain and notify incidents; recover and validate; track remediation. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Inventories, security architecture/configuration, EDR/SIEM reports, vulnerability and penetration tests, patch evidence, access/MFA reports, threat intelligence, incident/forensic records, recovery tests and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when critical assets are covered by preventive/detective controls, high-risk vulnerabilities are timely resolved, monitoring and response are effective and recovery is tested. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes uncontrolled critical vulnerability, disabled protection/logging, compromised credentials, missed incident, untested recovery, unsupported asset, evidence loss or overdue high-risk remediation.",All digital infrastructure and connected operations,CISO / SOC Lead
Penetration Testing,Cyber Security,"Technology, Data & Security","Penetration Testing is the operational controls that prevent, detect, contain, investigate and recover from cyber threats across endpoints, networks, cloud and applications. Within Cyber Security, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It reduces business interruption, data loss, extortion, fraud and safety impact from increasingly capable and persistent threats.","It is needed under cyber law, NIST CSF, CIS Controls, contracts, insurance conditions and accepted security practice. Primary catalogue basis: NIST CSF; CIS Controls; ISO/IEC 27001. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.",Identify assets and threats; protect through layered controls; continuously detect anomalies; respond using tested playbooks; recover from trusted backups; learn from incidents and threat intelligence. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.,Maintain inventory and criticality; secure identities/endpoints/networks/email/cloud; manage vulnerabilities and patches; monitor logs/alerts; test penetration and response; preserve forensic evidence; contain and notify incidents; recover and validate; track remediation. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Inventories, security architecture/configuration, EDR/SIEM reports, vulnerability and penetration tests, patch evidence, access/MFA reports, threat intelligence, incident/forensic records, recovery tests and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when critical assets are covered by preventive/detective controls, high-risk vulnerabilities are timely resolved, monitoring and response are effective and recovery is tested. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes uncontrolled critical vulnerability, disabled protection/logging, compromised credentials, missed incident, untested recovery, unsupported asset, evidence loss or overdue high-risk remediation.",All digital infrastructure and connected operations,CISO / SOC Lead
Security Monitoring,Cyber Security,"Technology, Data & Security","Security Monitoring is the operational controls that prevent, detect, contain, investigate and recover from cyber threats across endpoints, networks, cloud and applications. Within Cyber Security, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It reduces business interruption, data loss, extortion, fraud and safety impact from increasingly capable and persistent threats.","It is needed under cyber law, NIST CSF, CIS Controls, contracts, insurance conditions and accepted security practice. Primary catalogue basis: NIST CSF; CIS Controls; ISO/IEC 27001. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.",Identify assets and threats; protect through layered controls; continuously detect anomalies; respond using tested playbooks; recover from trusted backups; learn from incidents and threat intelligence. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.,Maintain inventory and criticality; secure identities/endpoints/networks/email/cloud; manage vulnerabilities and patches; monitor logs/alerts; test penetration and response; preserve forensic evidence; contain and notify incidents; recover and validate; track remediation. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Inventories, security architecture/configuration, EDR/SIEM reports, vulnerability and penetration tests, patch evidence, access/MFA reports, threat intelligence, incident/forensic records, recovery tests and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when critical assets are covered by preventive/detective controls, high-risk vulnerabilities are timely resolved, monitoring and response are effective and recovery is tested. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes uncontrolled critical vulnerability, disabled protection/logging, compromised credentials, missed incident, untested recovery, unsupported asset, evidence loss or overdue high-risk remediation.",All digital infrastructure and connected operations,CISO / SOC Lead
Digital Forensics,Cyber Security,"Technology, Data & Security","Digital Forensics is the operational controls that prevent, detect, contain, investigate and recover from cyber threats across endpoints, networks, cloud and applications. Within Cyber Security, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It reduces business interruption, data loss, extortion, fraud and safety impact from increasingly capable and persistent threats.","It is needed under cyber law, NIST CSF, CIS Controls, contracts, insurance conditions and accepted security practice. Primary catalogue basis: NIST CSF; CIS Controls; ISO/IEC 27001. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.",Identify assets and threats; protect through layered controls; continuously detect anomalies; respond using tested playbooks; recover from trusted backups; learn from incidents and threat intelligence. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.,Maintain inventory and criticality; secure identities/endpoints/networks/email/cloud; manage vulnerabilities and patches; monitor logs/alerts; test penetration and response; preserve forensic evidence; contain and notify incidents; recover and validate; track remediation. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Inventories, security architecture/configuration, EDR/SIEM reports, vulnerability and penetration tests, patch evidence, access/MFA reports, threat intelligence, incident/forensic records, recovery tests and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when critical assets are covered by preventive/detective controls, high-risk vulnerabilities are timely resolved, monitoring and response are effective and recovery is tested. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes uncontrolled critical vulnerability, disabled protection/logging, compromised credentials, missed incident, untested recovery, unsupported asset, evidence loss or overdue high-risk remediation.",All digital infrastructure and connected operations,CISO / SOC Lead
GDPR,Privacy & Data Protection,"Technology, Data & Security","GDPR is the governance of personal data across collection, lawful use, consent, sharing, security, retention, rights and breach response. Within Privacy & Data Protection, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects individuals and trust and reduces unlawful surveillance/use, discrimination, breach harm, fines and contractual exposure.","It is needed under applicable data-protection law, ISO/IEC 27701, employment/customer duties and cross-border contractual commitments. Primary catalogue basis: ISO/IEC 27701; GDPR; Bangladesh data law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain a personal-data inventory and processing register, lawful-basis and purpose controls, privacy notices/consent, minimization, rights workflow, processor contracts, transfer safeguards, retention/deletion, security and breach response. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Identify data/processors; document purpose and lawful basis; provide notices and valid consent where required; minimize access/data; complete impact assessments for high risk; control sharing/transfers; fulfil rights; retain/delete on schedule; secure data; assess and notify breaches; audit processors. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Processing inventory, data maps, notices/consent, DPIAs, rights requests, data-sharing/processor agreements, transfer assessment, access reviews, retention/deletion logs, breach files and training. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when processing is documented and lawful, notices and controls match actual practice, rights/retention/security operate, processors are governed and breaches are timely managed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes undisclosed or unlawful processing, excessive collection/access, invalid consent, ignored rights, uncontrolled transfer/processor, overdue deletion, unassessed high-risk use or unmanaged breach.",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Personal Data Protection,Privacy & Data Protection,"Technology, Data & Security","Personal Data Protection is the governance of personal data across collection, lawful use, consent, sharing, security, retention, rights and breach response. Within Privacy & Data Protection, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects individuals and trust and reduces unlawful surveillance/use, discrimination, breach harm, fines and contractual exposure.","It is needed under applicable data-protection law, ISO/IEC 27701, employment/customer duties and cross-border contractual commitments. Primary catalogue basis: ISO/IEC 27701; GDPR; Bangladesh data law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain a personal-data inventory and processing register, lawful-basis and purpose controls, privacy notices/consent, minimization, rights workflow, processor contracts, transfer safeguards, retention/deletion, security and breach response. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Identify data/processors; document purpose and lawful basis; provide notices and valid consent where required; minimize access/data; complete impact assessments for high risk; control sharing/transfers; fulfil rights; retain/delete on schedule; secure data; assess and notify breaches; audit processors. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Processing inventory, data maps, notices/consent, DPIAs, rights requests, data-sharing/processor agreements, transfer assessment, access reviews, retention/deletion logs, breach files and training. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when processing is documented and lawful, notices and controls match actual practice, rights/retention/security operate, processors are governed and breaches are timely managed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes undisclosed or unlawful processing, excessive collection/access, invalid consent, ignored rights, uncontrolled transfer/processor, overdue deletion, unassessed high-risk use or unmanaged breach.",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Consent Management,Privacy & Data Protection,"Technology, Data & Security","Consent Management is the governance of personal data across collection, lawful use, consent, sharing, security, retention, rights and breach response. Within Privacy & Data Protection, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects individuals and trust and reduces unlawful surveillance/use, discrimination, breach harm, fines and contractual exposure.","It is needed under applicable data-protection law, ISO/IEC 27701, employment/customer duties and cross-border contractual commitments. Primary catalogue basis: ISO/IEC 27701; GDPR; Bangladesh data law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain a personal-data inventory and processing register, lawful-basis and purpose controls, privacy notices/consent, minimization, rights workflow, processor contracts, transfer safeguards, retention/deletion, security and breach response. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Identify data/processors; document purpose and lawful basis; provide notices and valid consent where required; minimize access/data; complete impact assessments for high risk; control sharing/transfers; fulfil rights; retain/delete on schedule; secure data; assess and notify breaches; audit processors. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Processing inventory, data maps, notices/consent, DPIAs, rights requests, data-sharing/processor agreements, transfer assessment, access reviews, retention/deletion logs, breach files and training. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when processing is documented and lawful, notices and controls match actual practice, rights/retention/security operate, processors are governed and breaches are timely managed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes undisclosed or unlawful processing, excessive collection/access, invalid consent, ignored rights, uncontrolled transfer/processor, overdue deletion, unassessed high-risk use or unmanaged breach.",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Data Classification,Privacy & Data Protection,"Technology, Data & Security","Data Classification is the governance of personal data across collection, lawful use, consent, sharing, security, retention, rights and breach response. Within Privacy & Data Protection, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects individuals and trust and reduces unlawful surveillance/use, discrimination, breach harm, fines and contractual exposure.","It is needed under applicable data-protection law, ISO/IEC 27701, employment/customer duties and cross-border contractual commitments. Primary catalogue basis: ISO/IEC 27701; GDPR; Bangladesh data law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain a personal-data inventory and processing register, lawful-basis and purpose controls, privacy notices/consent, minimization, rights workflow, processor contracts, transfer safeguards, retention/deletion, security and breach response. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Identify data/processors; document purpose and lawful basis; provide notices and valid consent where required; minimize access/data; complete impact assessments for high risk; control sharing/transfers; fulfil rights; retain/delete on schedule; secure data; assess and notify breaches; audit processors. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Processing inventory, data maps, notices/consent, DPIAs, rights requests, data-sharing/processor agreements, transfer assessment, access reviews, retention/deletion logs, breach files and training. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when processing is documented and lawful, notices and controls match actual practice, rights/retention/security operate, processors are governed and breaches are timely managed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes undisclosed or unlawful processing, excessive collection/access, invalid consent, ignored rights, uncontrolled transfer/processor, overdue deletion, unassessed high-risk use or unmanaged breach.",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Data Retention,Privacy & Data Protection,"Technology, Data & Security","Data Retention is the governance of personal data across collection, lawful use, consent, sharing, security, retention, rights and breach response. Within Privacy & Data Protection, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects individuals and trust and reduces unlawful surveillance/use, discrimination, breach harm, fines and contractual exposure.","It is needed under applicable data-protection law, ISO/IEC 27701, employment/customer duties and cross-border contractual commitments. Primary catalogue basis: ISO/IEC 27701; GDPR; Bangladesh data law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain a personal-data inventory and processing register, lawful-basis and purpose controls, privacy notices/consent, minimization, rights workflow, processor contracts, transfer safeguards, retention/deletion, security and breach response. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Identify data/processors; document purpose and lawful basis; provide notices and valid consent where required; minimize access/data; complete impact assessments for high risk; control sharing/transfers; fulfil rights; retain/delete on schedule; secure data; assess and notify breaches; audit processors. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Processing inventory, data maps, notices/consent, DPIAs, rights requests, data-sharing/processor agreements, transfer assessment, access reviews, retention/deletion logs, breach files and training. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when processing is documented and lawful, notices and controls match actual practice, rights/retention/security operate, processors are governed and breaches are timely managed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes undisclosed or unlawful processing, excessive collection/access, invalid consent, ignored rights, uncontrolled transfer/processor, overdue deletion, unassessed high-risk use or unmanaged breach.",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Data Sharing,Privacy & Data Protection,"Technology, Data & Security","Data Sharing is the governance of personal data across collection, lawful use, consent, sharing, security, retention, rights and breach response. Within Privacy & Data Protection, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects individuals and trust and reduces unlawful surveillance/use, discrimination, breach harm, fines and contractual exposure.","It is needed under applicable data-protection law, ISO/IEC 27701, employment/customer duties and cross-border contractual commitments. Primary catalogue basis: ISO/IEC 27701; GDPR; Bangladesh data law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain a personal-data inventory and processing register, lawful-basis and purpose controls, privacy notices/consent, minimization, rights workflow, processor contracts, transfer safeguards, retention/deletion, security and breach response. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Identify data/processors; document purpose and lawful basis; provide notices and valid consent where required; minimize access/data; complete impact assessments for high risk; control sharing/transfers; fulfil rights; retain/delete on schedule; secure data; assess and notify breaches; audit processors. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Processing inventory, data maps, notices/consent, DPIAs, rights requests, data-sharing/processor agreements, transfer assessment, access reviews, retention/deletion logs, breach files and training. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when processing is documented and lawful, notices and controls match actual practice, rights/retention/security operate, processors are governed and breaches are timely managed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes undisclosed or unlawful processing, excessive collection/access, invalid consent, ignored rights, uncontrolled transfer/processor, overdue deletion, unassessed high-risk use or unmanaged breach.",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Cross Border Transfer,Privacy & Data Protection,"Technology, Data & Security","Cross Border Transfer is the governance of personal data across collection, lawful use, consent, sharing, security, retention, rights and breach response. Within Privacy & Data Protection, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects individuals and trust and reduces unlawful surveillance/use, discrimination, breach harm, fines and contractual exposure.","It is needed under applicable data-protection law, ISO/IEC 27701, employment/customer duties and cross-border contractual commitments. Primary catalogue basis: ISO/IEC 27701; GDPR; Bangladesh data law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain a personal-data inventory and processing register, lawful-basis and purpose controls, privacy notices/consent, minimization, rights workflow, processor contracts, transfer safeguards, retention/deletion, security and breach response. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Identify data/processors; document purpose and lawful basis; provide notices and valid consent where required; minimize access/data; complete impact assessments for high risk; control sharing/transfers; fulfil rights; retain/delete on schedule; secure data; assess and notify breaches; audit processors. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Processing inventory, data maps, notices/consent, DPIAs, rights requests, data-sharing/processor agreements, transfer assessment, access reviews, retention/deletion logs, breach files and training. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when processing is documented and lawful, notices and controls match actual practice, rights/retention/security operate, processors are governed and breaches are timely managed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes undisclosed or unlawful processing, excessive collection/access, invalid consent, ignored rights, uncontrolled transfer/processor, overdue deletion, unassessed high-risk use or unmanaged breach.",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
