Compliance Name,Domain Name,Category,Typical Applicability / SBU,Indicative Process Owner
PEP Screening,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
ESG Assessment,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
Supplier Code of Conduct,Supply Chain Compliance,"Supply Chain, Trade & Operations","All suppliers, sourcing channels and logistics partners",Chief Supply Chain Officer
Responsible Sourcing,Supply Chain Compliance,"Supply Chain, Trade & Operations","All suppliers, sourcing channels and logistics partners",Chief Supply Chain Officer
Human Rights,Supply Chain Compliance,"Supply Chain, Trade & Operations","All suppliers, sourcing channels and logistics partners",Chief Supply Chain Officer
Child Labour,Supply Chain Compliance,"Supply Chain, Trade & Operations","All suppliers, sourcing channels and logistics partners",Chief Supply Chain Officer
Forced Labour,Supply Chain Compliance,"Supply Chain, Trade & Operations","All suppliers, sourcing channels and logistics partners",Chief Supply Chain Officer
Conflict Minerals,Supply Chain Compliance,"Supply Chain, Trade & Operations","All suppliers, sourcing channels and logistics partners",Chief Supply Chain Officer
Supplier Audit,Supply Chain Compliance,"Supply Chain, Trade & Operations","All suppliers, sourcing channels and logistics partners",Chief Supply Chain Officer
Traceability,Supply Chain Compliance,"Supply Chain, Trade & Operations","All suppliers, sourcing channels and logistics partners",Chief Supply Chain Officer
Import Licence,Import Export Compliance,"Supply Chain, Trade & Operations",Importing and exporting SBUs,Head of Trade / Commercial
Export Licence,Import Export Compliance,"Supply Chain, Trade & Operations",Importing and exporting SBUs,Head of Trade / Commercial
Customs Clearance,Import Export Compliance,"Supply Chain, Trade & Operations",Importing and exporting SBUs,Head of Trade / Commercial
Rules of Origin,Import Export Compliance,"Supply Chain, Trade & Operations",Importing and exporting SBUs,Head of Trade / Commercial
HS Code,Import Export Compliance,"Supply Chain, Trade & Operations",Importing and exporting SBUs,Head of Trade / Commercial
Export Control,Import Export Compliance,"Supply Chain, Trade & Operations",Importing and exporting SBUs,Head of Trade / Commercial
Trade Sanctions,Import Export Compliance,"Supply Chain, Trade & Operations",Importing and exporting SBUs,Head of Trade / Commercial
Shipping Documentation,Import Export Compliance,"Supply Chain, Trade & Operations",Importing and exporting SBUs,Head of Trade / Commercial
Factory Licence,Manufacturing Compliance,"Engineering, Assets & Manufacturing",Factories and production facilities,Chief Operating Officer / Plant Head
Boiler Inspection,Manufacturing Compliance,"Engineering, Assets & Manufacturing",Factories and production facilities,Chief Operating Officer / Plant Head
Pressure Vessel Inspection,Manufacturing Compliance,"Engineering, Assets & Manufacturing",Factories and production facilities,Chief Operating Officer / Plant Head
Machinery Inspection,Manufacturing Compliance,"Engineering, Assets & Manufacturing",Factories and production facilities,Chief Operating Officer / Plant Head
Production Records,Manufacturing Compliance,"Engineering, Assets & Manufacturing",Factories and production facilities,Chief Operating Officer / Plant Head
Calibration,Manufacturing Compliance,"Engineering, Assets & Manufacturing",Factories and production facilities,Chief Operating Officer / Plant Head
Maintenance,Manufacturing Compliance,"Engineering, Assets & Manufacturing",Factories and production facilities,Chief Operating Officer / Plant Head
Process Validation,Manufacturing Compliance,"Engineering, Assets & Manufacturing",Factories and production facilities,Chief Operating Officer / Plant Head
Fleet Management,Logistics Compliance,"Supply Chain, Trade & Operations","Fleet, transport, warehousing and distribution operations",Head of Logistics
Vehicle Fitness,Logistics Compliance,"Supply Chain, Trade & Operations","Fleet, transport, warehousing and distribution operations",Head of Logistics
Driver Compliance,Logistics Compliance,"Supply Chain, Trade & Operations","Fleet, transport, warehousing and distribution operations",Head of Logistics
Transportation Safety,Logistics Compliance,"Supply Chain, Trade & Operations","Fleet, transport, warehousing and distribution operations",Head of Logistics
Dangerous Goods,Logistics Compliance,"Supply Chain, Trade & Operations","Fleet, transport, warehousing and distribution operations",Head of Logistics
Warehouse Compliance,Logistics Compliance,"Supply Chain, Trade & Operations","Fleet, transport, warehousing and distribution operations",Head of Logistics
Building Code,Real Estate & Infrastructure Compliance,"Projects, Property & Facilities","Land, buildings, construction and occupied premises",Head of Real Estate / Facilities
Occupancy Certificate,Real Estate & Infrastructure Compliance,"Projects, Property & Facilities","Land, buildings, construction and occupied premises",Head of Real Estate / Facilities
Structural Safety,Real Estate & Infrastructure Compliance,"Projects, Property & Facilities","Land, buildings, construction and occupied premises",Head of Real Estate / Facilities
Electrical Inspection,Real Estate & Infrastructure Compliance,"Projects, Property & Facilities","Land, buildings, construction and occupied premises",Head of Real Estate / Facilities
Lift Inspection,Real Estate & Infrastructure Compliance,"Projects, Property & Facilities","Land, buildings, construction and occupied premises",Head of Real Estate / Facilities
Fire NOC,Real Estate & Infrastructure Compliance,"Projects, Property & Facilities","Land, buildings, construction and occupied premises",Head of Real Estate / Facilities
Engineering Standards,Engineering Compliance,"Engineering, Assets & Manufacturing","Engineering design, maintenance, utilities and projects",Chief Engineer
Mechanical Integrity,Engineering Compliance,"Engineering, Assets & Manufacturing","Engineering design, maintenance, utilities and projects",Chief Engineer
Preventive Maintenance,Engineering Compliance,"Engineering, Assets & Manufacturing","Engineering design, maintenance, utilities and projects",Chief Engineer
Asset Integrity,Engineering Compliance,"Engineering, Assets & Manufacturing","Engineering design, maintenance, utilities and projects",Chief Engineer
Utilities Compliance,Engineering Compliance,"Engineering, Assets & Manufacturing","Engineering design, maintenance, utilities and projects",Chief Engineer
Sustainability Reporting,ESG Compliance,"HSE, Environment & Sustainability","Group-wide; enhanced for financiers, buyers and exports",Head of Sustainability / ESG
ESG Reporting,ESG Compliance,"HSE, Environment & Sustainability","Group-wide; enhanced for financiers, buyers and exports",Head of Sustainability / ESG
Carbon Accounting,ESG Compliance,"HSE, Environment & Sustainability","Group-wide; enhanced for financiers, buyers and exports",Head of Sustainability / ESG
Water Stewardship,ESG Compliance,"HSE, Environment & Sustainability","Group-wide; enhanced for financiers, buyers and exports",Head of Sustainability / ESG
Human Rights Due Diligence,ESG Compliance,"HSE, Environment & Sustainability","Group-wide; enhanced for financiers, buyers and exports",Head of Sustainability / ESG
Responsible Business Conduct,ESG Compliance,"HSE, Environment & Sustainability","Group-wide; enhanced for financiers, buyers and exports",Head of Sustainability / ESG
Anti-Money Laundering,AML & Financial Crime,"Finance, Tax & Insurance","Financial services, high-risk payments, customers and counterparties",MLRO / Compliance
Counter Terrorist Financing,AML & Financial Crime,"Finance, Tax & Insurance","Financial services, high-risk payments, customers and counterparties",MLRO / Compliance
KYC,AML & Financial Crime,"Finance, Tax & Insurance","Financial services, high-risk payments, customers and counterparties",MLRO / Compliance
Customer Due Diligence,AML & Financial Crime,"Finance, Tax & Insurance","Financial services, high-risk payments, customers and counterparties",MLRO / Compliance
Enhanced Due Diligence,AML & Financial Crime,"Finance, Tax & Insurance","Financial services, high-risk payments, customers and counterparties",MLRO / Compliance
Suspicious Transaction Reporting,AML & Financial Crime,"Finance, Tax & Insurance","Financial services, high-risk payments, customers and counterparties",MLRO / Compliance
Asset Insurance,Insurance Compliance,"Finance, Tax & Insurance","Insurable assets, people, vehicles, cargo and liabilities",Risk / Finance / Insurance Manager
Fire Insurance,Insurance Compliance,"Finance, Tax & Insurance","Insurable assets, people, vehicles, cargo and liabilities",Risk / Finance / Insurance Manager
Marine Insurance,Insurance Compliance,"Finance, Tax & Insurance","Insurable assets, people, vehicles, cargo and liabilities",Risk / Finance / Insurance Manager
Vehicle Insurance,Insurance Compliance,"Finance, Tax & Insurance","Insurable assets, people, vehicles, cargo and liabilities",Risk / Finance / Insurance Manager
Employee Insurance,Insurance Compliance,"Finance, Tax & Insurance","Insurable assets, people, vehicles, cargo and liabilities",Risk / Finance / Insurance Manager
Policy Renewal,Insurance Compliance,"Finance, Tax & Insurance","Insurable assets, people, vehicles, cargo and liabilities",Risk / Finance / Insurance Manager
Access Control,Physical Security Compliance,"Resilience, Security & Emergency","All offices, factories, warehouses and projects",Head of Security
Visitor Management,Physical Security Compliance,"Resilience, Security & Emergency","All offices, factories, warehouses and projects",Head of Security
CCTV,Physical Security Compliance,"Resilience, Security & Emergency","All offices, factories, warehouses and projects",Head of Security
Security Patrol,Physical Security Compliance,"Resilience, Security & Emergency","All offices, factories, warehouses and projects",Head of Security
Warehouse Security,Physical Security Compliance,"Resilience, Security & Emergency","All offices, factories, warehouses and projects",Head of Security
Key Management,Physical Security Compliance,"Resilience, Security & Emergency","All offices, factories, warehouses and projects",Head of Security
COBIT,IT Governance,"Technology, Data & Security","All IT services, changes, assets and vendors",CIO / IT Governance Lead
Change Management,IT Governance,"Technology, Data & Security","All IT services, changes, assets and vendors",CIO / IT Governance Lead
Configuration Management,IT Governance,"Technology, Data & Security","All IT services, changes, assets and vendors",CIO / IT Governance Lead
Software Asset Management,IT Governance,"Technology, Data & Security","All IT services, changes, assets and vendors",CIO / IT Governance Lead
IT Vendor Management,IT Governance,"Technology, Data & Security","All IT services, changes, assets and vendors",CIO / IT Governance Lead
IT Project Governance,IT Governance,"Technology, Data & Security","All IT services, changes, assets and vendors",CIO / IT Governance Lead
AI Governance,Digital Governance,"Technology, Data & Security","Digital products, cloud, AI and electronic records",Chief Digital Officer / CIO
Cloud Governance,Digital Governance,"Technology, Data & Security","Digital products, cloud, AI and electronic records",Chief Digital Officer / CIO
Electronic Signature,Digital Governance,"Technology, Data & Security","Digital products, cloud, AI and electronic records",Chief Digital Officer / CIO
Digital Records,Digital Governance,"Technology, Data & Security","Digital products, cloud, AI and electronic records",Chief Digital Officer / CIO
Software Licensing,Digital Governance,"Technology, Data & Security","Digital products, cloud, AI and electronic records",Chief Digital Officer / CIO
Document Control,Document & Record Management,"Governance, Legal & Integrity","All controlled documents, records and evidence",Records Manager / Quality
Version Control,Document & Record Management,"Governance, Legal & Integrity","All controlled documents, records and evidence",Records Manager / Quality
Record Retention,Document & Record Management,"Governance, Legal & Integrity","All controlled documents, records and evidence",Records Manager / Quality
Archive Management,Document & Record Management,"Governance, Legal & Integrity","All controlled documents, records and evidence",Records Manager / Quality
Document Disposal,Document & Record Management,"Governance, Legal & Integrity","All controlled documents, records and evidence",Records Manager / Quality
Evidence Management,Document & Record Management,"Governance, Legal & Integrity","All controlled documents, records and evidence",Records Manager / Quality
Consumer Protection,Customer & Market Compliance,"Quality, Product & Customer","Products, customers, pricing, advertising and markets",Chief Commercial Officer
Product Safety,Customer & Market Compliance,"Quality, Product & Customer","Products, customers, pricing, advertising and markets",Chief Commercial Officer
Advertising Compliance,Customer & Market Compliance,"Quality, Product & Customer","Products, customers, pricing, advertising and markets",Chief Commercial Officer
Marketing Compliance,Customer & Market Compliance,"Quality, Product & Customer","Products, customers, pricing, advertising and markets",Chief Commercial Officer
Pricing Compliance,Customer & Market Compliance,"Quality, Product & Customer","Products, customers, pricing, advertising and markets",Chief Commercial Officer
Competition Law,Customer & Market Compliance,"Quality, Product & Customer","Products, customers, pricing, advertising and markets",Chief Commercial Officer
BSCI,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
Sedex SMETA,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
WRAP,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
Disney FAMA,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
Higg Index,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
Walmart Standards,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
H&M Requirements,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
IKEA IWAY,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
Nike Code,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
Adidas Standards,Buyer Compliance,"Quality, Product & Customer",Export and buyer-nominated supply chains,Commercial / Sustainability / Compliance
ISO 9001,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
ISO 14001,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
ISO 45001,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
ISO 27001,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
ISO 37301,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
ISO 37001,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
ISO 37002,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
ISO 37003,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
ISO 22000,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
FSC,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
PEFC,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
LEED,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
SA8000,Industry Certification Compliance,"Quality, Product & Customer",According to SBU certifications and customer requirements,Management Systems / Quality
SOP Compliance,Operational Compliance,"Supply Chain, Trade & Operations",All operational processes and sites,Chief Operating Officer
Work Instruction Compliance,Operational Compliance,"Supply Chain, Trade & Operations",All operational processes and sites,Chief Operating Officer
Process Compliance,Operational Compliance,"Supply Chain, Trade & Operations",All operational processes and sites,Chief Operating Officer
Production Compliance,Operational Compliance,"Supply Chain, Trade & Operations",All operational processes and sites,Chief Operating Officer
Maintenance Compliance,Operational Compliance,"Supply Chain, Trade & Operations",All operational processes and sites,Chief Operating Officer
Shift Compliance,Operational Compliance,"Supply Chain, Trade & Operations",All operational processes and sites,Chief Operating Officer
Operational Readiness,Operational Compliance,"Supply Chain, Trade & Operations",All operational processes and sites,Chief Operating Officer
HR Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Finance Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Procurement Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
IT Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
HSE Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Security Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Travel Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Vehicle Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Asset Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Ethics Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Compliance Policy,Internal Policy Compliance,"Governance, Legal & Integrity",All functions and employees,Policy Owners / Compliance
Internal Audit,Audit & Assurance,"Governance, Legal & Integrity","All SBUs, systems and assurance providers",Chief Audit Executive
External Audit,Audit & Assurance,"Governance, Legal & Integrity","All SBUs, systems and assurance providers",Chief Audit Executive
Certification Audit,Audit & Assurance,"Governance, Legal & Integrity","All SBUs, systems and assurance providers",Chief Audit Executive
Regulatory Inspection,Audit & Assurance,"Governance, Legal & Integrity","All SBUs, systems and assurance providers",Chief Audit Executive
Compliance Review,Audit & Assurance,"Governance, Legal & Integrity","All SBUs, systems and assurance providers",Chief Audit Executive
CAPA,Audit & Assurance,"Governance, Legal & Integrity","All SBUs, systems and assurance providers",Chief Audit Executive
Root Cause Analysis,Audit & Assurance,"Governance, Legal & Integrity","All SBUs, systems and assurance providers",Chief Audit Executive
Management Review,Audit & Assurance,"Governance, Legal & Integrity","All SBUs, systems and assurance providers",Chief Audit Executive
Research Ethics,Research & Innovation Compliance,"Quality, Product & Customer","Research, laboratories and new product development",R&D / Innovation Lead
Product Development Compliance,Research & Innovation Compliance,"Quality, Product & Customer","Research, laboratories and new product development",R&D / Innovation Lead
Laboratory Compliance,Research & Innovation Compliance,"Quality, Product & Customer","Research, laboratories and new product development",R&D / Innovation Lead
Testing Compliance,Research & Innovation Compliance,"Quality, Product & Customer","Research, laboratories and new product development",R&D / Innovation Lead
Innovation Governance,Research & Innovation Compliance,"Quality, Product & Customer","Research, laboratories and new product development",R&D / Innovation Lead
Project Governance,Project Compliance,"Projects, Property & Facilities","Capital, construction, digital and transformation projects",PMO / Project Director
Project Controls,Project Compliance,"Projects, Property & Facilities","Capital, construction, digital and transformation projects",PMO / Project Director
Contractor Compliance,Project Compliance,"Projects, Property & Facilities","Capital, construction, digital and transformation projects",PMO / Project Director
Construction Safety,Project Compliance,"Projects, Property & Facilities","Capital, construction, digital and transformation projects",PMO / Project Director
Project Risk,Project Compliance,"Projects, Property & Facilities","Capital, construction, digital and transformation projects",PMO / Project Director
Circular Economy,Sustainability Compliance,"HSE, Environment & Sustainability",Group-wide and all material operational footprints,Head of Sustainability
Waste Reduction,Sustainability Compliance,"HSE, Environment & Sustainability",Group-wide and all material operational footprints,Head of Sustainability
Renewable Energy,Sustainability Compliance,"HSE, Environment & Sustainability",Group-wide and all material operational footprints,Head of Sustainability
Net Zero Programs,Sustainability Compliance,"HSE, Environment & Sustainability",Group-wide and all material operational footprints,Head of Sustainability
Sustainable Procurement,Sustainability Compliance,"HSE, Environment & Sustainability",Group-wide and all material operational footprints,Head of Sustainability
Cement Industry Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Steel Industry Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Textile Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Jute Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Packaging Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Consumer Goods Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Printing Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Logistics Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Real Estate Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Agriculture Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Food Processing Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Fisheries Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Healthcare Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Hospitality Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Education Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Digital Services Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,Only the SBU or activity named,SBU Head / Legal / Compliance
Competition Law,Competition & Antitrust Compliance,"Governance, Legal & Integrity","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Anti-Trust,Competition & Antitrust Compliance,"Governance, Legal & Integrity","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Abuse of Dominant Position,Competition & Antitrust Compliance,"Governance, Legal & Integrity","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Price Fixing,Competition & Antitrust Compliance,"Governance, Legal & Integrity","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Bid Rigging,Competition & Antitrust Compliance,"Governance, Legal & Integrity","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Market Allocation,Competition & Antitrust Compliance,"Governance, Legal & Integrity","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Cartel Prevention,Competition & Antitrust Compliance,"Governance, Legal & Integrity","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Fair Competition,Competition & Antitrust Compliance,"Governance, Legal & Integrity","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Export Control,Trade Compliance,"Supply Chain, Trade & Operations","Cross-border goods, technology, payments and counterparties",Head of Trade Compliance
Import Control,Trade Compliance,"Supply Chain, Trade & Operations","Cross-border goods, technology, payments and counterparties",Head of Trade Compliance
Strategic Goods,Trade Compliance,"Supply Chain, Trade & Operations","Cross-border goods, technology, payments and counterparties",Head of Trade Compliance
Sanctions,Trade Compliance,"Supply Chain, Trade & Operations","Cross-border goods, technology, payments and counterparties",Head of Trade Compliance
Embargo,Trade Compliance,"Supply Chain, Trade & Operations","Cross-border goods, technology, payments and counterparties",Head of Trade Compliance
Customs Security,Trade Compliance,"Supply Chain, Trade & Operations","Cross-border goods, technology, payments and counterparties",Head of Trade Compliance
Trade Agreements,Trade Compliance,"Supply Chain, Trade & Operations","Cross-border goods, technology, payments and counterparties",Head of Trade Compliance
Dual Use Goods,Trade Compliance,"Supply Chain, Trade & Operations","Cross-border goods, technology, payments and counterparties",Head of Trade Compliance
Product Safety,Product Compliance,"Quality, Product & Customer","Manufactured, imported, exported and private-label products",Product Compliance / Quality
Product Stewardship,Product Compliance,"Quality, Product & Customer","Manufactured, imported, exported and private-label products",Product Compliance / Quality
Product Registration,Product Compliance,"Quality, Product & Customer","Manufactured, imported, exported and private-label products",Product Compliance / Quality
Product Labelling,Product Compliance,"Quality, Product & Customer","Manufactured, imported, exported and private-label products",Product Compliance / Quality
CE Marking,Product Compliance,"Quality, Product & Customer","Manufactured, imported, exported and private-label products",Product Compliance / Quality
REACH,Product Compliance,"Quality, Product & Customer","Manufactured, imported, exported and private-label products",Product Compliance / Quality
RoHS,Product Compliance,"Quality, Product & Customer","Manufactured, imported, exported and private-label products",Product Compliance / Quality
Product Recall,Product Compliance,"Quality, Product & Customer","Manufactured, imported, exported and private-label products",Product Compliance / Quality
Chemical Inventory,Chemical Compliance,"HSE, Environment & Sustainability","Sites importing, storing, using or disposing chemicals",HSE / Chemical Safety Lead
SDS Management,Chemical Compliance,"HSE, Environment & Sustainability","Sites importing, storing, using or disposing chemicals",HSE / Chemical Safety Lead
GHS,Chemical Compliance,"HSE, Environment & Sustainability","Sites importing, storing, using or disposing chemicals",HSE / Chemical Safety Lead
REACH,Chemical Compliance,"HSE, Environment & Sustainability","Sites importing, storing, using or disposing chemicals",HSE / Chemical Safety Lead
CLP,Chemical Compliance,"HSE, Environment & Sustainability","Sites importing, storing, using or disposing chemicals",HSE / Chemical Safety Lead
Hazard Communication,Chemical Compliance,"HSE, Environment & Sustainability","Sites importing, storing, using or disposing chemicals",HSE / Chemical Safety Lead
Chemical Storage,Chemical Compliance,"HSE, Environment & Sustainability","Sites importing, storing, using or disposing chemicals",HSE / Chemical Safety Lead
Chemical Disposal,Chemical Compliance,"HSE, Environment & Sustainability","Sites importing, storing, using or disposing chemicals",HSE / Chemical Safety Lead
Pressure Equipment,Asset Integrity Compliance,"Engineering, Assets & Manufacturing","Plants, pipelines, tanks and structural assets",Asset Integrity Manager
Pipeline Integrity,Asset Integrity Compliance,"Engineering, Assets & Manufacturing","Plants, pipelines, tanks and structural assets",Asset Integrity Manager
Tank Integrity,Asset Integrity Compliance,"Engineering, Assets & Manufacturing","Plants, pipelines, tanks and structural assets",Asset Integrity Manager
Mechanical Integrity,Asset Integrity Compliance,"Engineering, Assets & Manufacturing","Plants, pipelines, tanks and structural assets",Asset Integrity Manager
Corrosion Management,Asset Integrity Compliance,"Engineering, Assets & Manufacturing","Plants, pipelines, tanks and structural assets",Asset Integrity Manager
Structural Inspection,Asset Integrity Compliance,"Engineering, Assets & Manufacturing","Plants, pipelines, tanks and structural assets",Asset Integrity Manager
HAZOP,Process Safety Management,"Engineering, Assets & Manufacturing",High-hazard processes and major accident risk sites,Process Safety Manager
LOPA,Process Safety Management,"Engineering, Assets & Manufacturing",High-hazard processes and major accident risk sites,Process Safety Manager
SIL,Process Safety Management,"Engineering, Assets & Manufacturing",High-hazard processes and major accident risk sites,Process Safety Manager
MOC,Process Safety Management,"Engineering, Assets & Manufacturing",High-hazard processes and major accident risk sites,Process Safety Manager
Process Hazard Analysis,Process Safety Management,"Engineering, Assets & Manufacturing",High-hazard processes and major accident risk sites,Process Safety Manager
Explosion Protection,Process Safety Management,"Engineering, Assets & Manufacturing",High-hazard processes and major accident risk sites,Process Safety Manager
Reliability Centered Maintenance,Reliability Compliance,"Engineering, Assets & Manufacturing",Critical production and utility assets,Reliability / Maintenance Manager
Predictive Maintenance,Reliability Compliance,"Engineering, Assets & Manufacturing",Critical production and utility assets,Reliability / Maintenance Manager
Preventive Maintenance,Reliability Compliance,"Engineering, Assets & Manufacturing",Critical production and utility assets,Reliability / Maintenance Manager
Asset Health Monitoring,Reliability Compliance,"Engineering, Assets & Manufacturing",Critical production and utility assets,Reliability / Maintenance Manager
ISO 50001,Energy Compliance,"HSE, Environment & Sustainability",Energy-intensive sites and regulated utilities,Energy Manager / Utilities Head
Energy Efficiency,Energy Compliance,"HSE, Environment & Sustainability",Energy-intensive sites and regulated utilities,Energy Manager / Utilities Head
Energy Audit,Energy Compliance,"HSE, Environment & Sustainability",Energy-intensive sites and regulated utilities,Energy Manager / Utilities Head
Utility Management,Energy Compliance,"HSE, Environment & Sustainability",Energy-intensive sites and regulated utilities,Energy Manager / Utilities Head
Power Quality,Energy Compliance,"HSE, Environment & Sustainability",Energy-intensive sites and regulated utilities,Energy Manager / Utilities Head
ISO/IEC 17025,Laboratory Compliance,"Quality, Product & Customer","Testing, calibration and research laboratories",Laboratory Manager / Quality
Calibration,Laboratory Compliance,"Quality, Product & Customer","Testing, calibration and research laboratories",Laboratory Manager / Quality
Validation,Laboratory Compliance,"Quality, Product & Customer","Testing, calibration and research laboratories",Laboratory Manager / Quality
Measurement Uncertainty,Laboratory Compliance,"Quality, Product & Customer","Testing, calibration and research laboratories",Laboratory Manager / Quality
Sample Management,Laboratory Compliance,"Quality, Product & Customer","Testing, calibration and research laboratories",Laboratory Manager / Quality
Instrument Calibration,Metrology Compliance,"Quality, Product & Customer",Measurement equipment and product quantity claims,Metrology / Quality Manager
Calibration Interval,Metrology Compliance,"Quality, Product & Customer",Measurement equipment and product quantity claims,Metrology / Quality Manager
Traceability,Metrology Compliance,"Quality, Product & Customer",Measurement equipment and product quantity claims,Metrology / Quality Manager
Master Equipment,Metrology Compliance,"Quality, Product & Customer",Measurement equipment and product quantity claims,Metrology / Quality Manager
Packaging Waste,Packaging Compliance,"Quality, Product & Customer","Packaged goods, export products and packaging materials",Packaging / Product Compliance
Plastic Compliance,Packaging Compliance,"Quality, Product & Customer","Packaged goods, export products and packaging materials",Packaging / Product Compliance
Recycling,Packaging Compliance,"Quality, Product & Customer","Packaged goods, export products and packaging materials",Packaging / Product Compliance
Packaging Labelling,Packaging Compliance,"Quality, Product & Customer","Packaged goods, export products and packaging materials",Packaging / Product Compliance
